Species	Accession	FTP
Escherichia coli strain SPCR2020 	NZ_CP083419.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/115/GCA_020105115.1_ASM2010511v1
Escherichia coli strain CX14 	NZ_CP081736.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/375/GCA_020105375.1_ASM2010537v1
Escherichia coli strain CX06 	NZ_CP081796.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/415/GCA_020105415.1_ASM2010541v1
Escherichia coli strain CX20 	NZ_CP081805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/315/GCA_020105315.1_ASM2010531v1
Escherichia coli strain AVS0096 	CP076344.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/798/845/GCA_018798845.1_ASM1879884v1
Escherichia coli strain ECNB21-M121 	NZ_CP083585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/645/GCA_020091645.1_ASM2009164v1
Escherichia coli strain RP437 	NZ_CP083410.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/042/705/GCA_020042705.1_ASM2004270v1
Escherichia coli strain FUJ80154 	NZ_AP024687.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/973/795/GCA_019973795.1_ASM1997379v1
Escherichia coli strain E189 	NZ_AP024521.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/976/915/GCA_019976915.1_ASM1997691v1
Escherichia coli strain E148 	NZ_AP024518.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/976/835/GCA_019976835.1_ASM1997683v1
Escherichia coli O55:H7 strain USDA5905 	CP039837.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/343/615/GCA_013343615.1_ASM1334361v1
Escherichia coli O55:H7 strain DEC5A 	CP038394.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/015/GCA_013168015.1_ASM1316801v1
Escherichia coli O55:H7 strain DEC5B 	CP038389.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/995/GCA_013167995.1_ASM1316799v1
Escherichia coli O55:H7 strain DEC5D 	CP038386.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/975/GCA_013167975.1_ASM1316797v1
Escherichia coli O55:H7 strain DEC5E 	CP038383.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/935/GCA_013167935.1_ASM1316793v1
Escherichia coli O55:H7 strain TB182A 	CP038295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/255/GCA_013167255.1_ASM1316725v1
Escherichia coli strain NDM4 	CP083877.1	None
Escherichia coli strain NDM5 	CP083872.1	None
Escherichia coli strain NDM1 	CP083888.1	None
Escherichia coli strain NDM2 	CP083886.1	None
Escherichia coli strain NDM3 	CP083880.1	None
Escherichia coli strain NDM6 	CP083869.1	None
Escherichia coli strain SUISSEKPC3NDM5 	CP083701.1	None
Escherichia coli strain Rosetta2-DE3 	NZ_CP083274.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/034/595/GCA_020034595.1_ASM2003459v1
Escherichia coli strain BL21-RIPL 	NZ_CP083273.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/034/575/GCA_020034575.1_ASM2003457v1
Escherichia coli strain K-12 substr. AB1157 	NZ_CP076404.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/023/255/GCA_020023255.1_ASM2002325v1
Escherichia coli strain JNU 	NZ_CP083263.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/034/635/GCA_020034635.1_ASM2003463v1
Escherichia coli strain CX05 	NZ_CP081719.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/035/GCA_019971035.1_ASM1997103v1
Escherichia coli strain 0H18 	NZ_CP081767.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/505/GCA_019969505.1_ASM1996950v1
Escherichia coli strain 0H15 	NZ_CP081677.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/485/GCA_019969485.1_ASM1996948v1
Escherichia coli strain CX15 	NZ_CP081742.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/075/GCA_019971075.1_ASM1997107v1
Escherichia coli strain CX07 	NZ_CP081724.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/055/GCA_019971055.1_ASM1997105v1
Escherichia coli strain CX21 	NZ_CP081762.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/115/GCA_019971115.1_ASM1997111v1
Escherichia coli strain CX04 	NZ_CP081713.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/015/GCA_019971015.1_ASM1997101v1
Escherichia coli strain CT02 	NZ_CP081698.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/625/GCA_019969625.1_ASM1996962v1
Escherichia coli strain 0H25 	NZ_CP081690.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/565/GCA_019969565.1_ASM1996956v1
Escherichia coli strain AH02 	NZ_CP081701.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/645/GCA_019969645.1_ASM1996964v1
Escherichia coli strain 0H23 	NZ_CP081684.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/525/GCA_019969525.1_ASM1996952v1
Escherichia coli strain AH21 	NZ_CP081711.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/995/GCA_019970995.1_ASM1997099v1
Escherichia coli strain 0H26 	NZ_CP081782.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/585/GCA_019969585.1_ASM1996958v1
Escherichia coli strain 0H24 	NZ_CP081774.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/545/GCA_019969545.1_ASM1996954v1
Escherichia coli strain CX08 	NZ_CP073718.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/895/GCA_019970895.1_ASM1997089v1
Escherichia coli strain CT01 	NZ_CP081791.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/605/GCA_019969605.1_ASM1996960v1
Escherichia coli strain CX12 	NZ_CP073719.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/955/GCA_019970955.1_ASM1997095v1
Escherichia coli strain BLK9 	NZ_CP014641.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/275/GCA_002078275.1_ASM207827v1
Escherichia coli strain BLK16 	NZ_CP014642.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/295/GCA_002078295.1_ASM207829v1
Escherichia coli BW25113 strain AM187 	NZ_CP037857.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/355/105/GCF_004355105.2_ASM435510v2
Escherichia coli strain ECNB21-M121 	CP083585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/645/GCA_020091645.1_ASM2009164v1
Escherichia coli strain NT1N25 	CP075484.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/235/GCA_014904235.2_ASM1490423v2
Escherichia coli strain NT1N31 	CP075480.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/215/GCA_014904215.2_ASM1490421v2
Escherichia coli strain NT1W25 	CP075477.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/145/GCA_014904145.2_ASM1490414v2
Escherichia coli strain NT1N28 	CP075474.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/175/GCA_014904175.2_ASM1490417v2
Escherichia coli strain NT1F34 	CP075487.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/265/GCA_014904265.2_ASM1490426v2
Escherichia coli strain NT1F25 	CP075472.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/315/GCA_014904315.2_ASM1490431v2
Escherichia coli strain NT1W22 	CP075469.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/185/GCA_014904185.2_ASM1490418v2
Escherichia coli strain NT1N34 	CP075465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/135/GCA_014904135.2_ASM1490413v2
Escherichia coli strain NT1F10 	CP075462.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/435/GCA_014904435.2_ASM1490443v2
Escherichia coli strain NT1F31 	CP045190.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/738/145/GCA_009738145.1_ASM973814v1
Escherichia coli strain RP437 	CP083410.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/042/705/GCA_020042705.1_ASM2004270v1
Escherichia coli strain SPCR2020 	CP083419.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/115/GCA_020105115.1_ASM2010511v1
Escherichia coli strain ECZP248 	CP034784.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/006/545/GCA_004006545.1_ASM400654v1
Escherichia coli isolate ECCNB12-2 	CP033635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/790/525/GCA_003790525.1_ASM379052v1
Escherichia coli strain Rosetta2-DE3 	CP083274.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/034/595/GCA_020034595.1_ASM2003459v1
Escherichia coli strain BL21-RIPL 	CP083273.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/034/575/GCA_020034575.1_ASM2003457v1
Escherichia coli strain JNU 	CP083263.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/034/635/GCA_020034635.1_ASM2003463v1
Escherichia coli strain K-12 substr. AB1157 	CP076404.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/023/255/GCA_020023255.1_ASM2002325v1
Escherichia coli strain CX12 	CP073719.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/955/GCA_019970955.1_ASM1997095v1
Escherichia coli strain CX08 	CP073718.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/895/GCA_019970895.1_ASM1997089v1
Escherichia coli strain CX21 	CP081762.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/115/GCA_019971115.1_ASM1997111v1
Escherichia coli strain CX20 	CP081805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/315/GCA_020105315.1_ASM2010531v1
Escherichia coli strain CX19 	CP081755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/335/GCA_020105335.1_ASM2010533v1
Escherichia coli strain CX16 	CP081748.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/355/GCA_020105355.1_ASM2010535v1
Escherichia coli strain CX15 	CP081742.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/075/GCA_019971075.1_ASM1997107v1
Escherichia coli strain CX14 	CP081736.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/375/GCA_020105375.1_ASM2010537v1
Escherichia coli strain CX11 	CP081729.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/395/GCA_020105395.1_ASM2010539v1
Escherichia coli strain CX07 	CP081724.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/055/GCA_019971055.1_ASM1997105v1
Escherichia coli strain CX06 	CP081796.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/415/GCA_020105415.1_ASM2010541v1
Escherichia coli strain CX05 	CP081719.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/035/GCA_019971035.1_ASM1997103v1
Escherichia coli strain CX04 	CP081713.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/971/015/GCA_019971015.1_ASM1997101v1
Escherichia coli strain AH21 	CP081711.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/995/GCA_019970995.1_ASM1997099v1
Escherichia coli strain AH04 	CP081706.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/975/GCA_019970975.1_ASM1997097v1
Escherichia coli strain AH02 	CP081701.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/645/GCA_019969645.1_ASM1996964v1
Escherichia coli strain CT02 	CP081698.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/625/GCA_019969625.1_ASM1996962v1
Escherichia coli strain CT01 	CP081791.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/605/GCA_019969605.1_ASM1996960v1
Escherichia coli strain 0H26 	CP081782.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/585/GCA_019969585.1_ASM1996958v1
Escherichia coli strain 0H25 	CP081690.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/565/GCA_019969565.1_ASM1996956v1
Escherichia coli strain 0H24 	CP081774.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/545/GCA_019969545.1_ASM1996954v1
Escherichia coli strain 0H23 	CP081684.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/525/GCA_019969525.1_ASM1996952v1
Escherichia coli strain 0H18 	CP081767.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/505/GCA_019969505.1_ASM1996950v1
Escherichia coli strain 0H15 	CP081677.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/485/GCA_019969485.1_ASM1996948v1
Escherichia coli strain SCAID WND1-2021 (1/128) 	CP082831.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/525/GCA_019915525.1_ASM1991552v1
Escherichia coli strain SCAID WND2-2021 (3/145) 	CP082827.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/545/GCA_019915545.1_ASM1991554v1
Escherichia coli strain SCAID URN1-2021 (19/278) 	CP082824.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/505/GCA_019915505.1_ASM1991550v1
Escherichia coli strain AL.H8 	NZ_CP082349.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/891/035/GCA_019891035.1_ASM1989103v1
Escherichia coli strain VCSW5 	NZ_CP082355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/890/835/GCA_019890835.1_ASM1989083v1
Escherichia coli strain VCSW7 	NZ_CP082357.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/890/855/GCA_019890855.1_ASM1989085v1
Escherichia coli strain AL.H8 	CP082349.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/891/035/GCA_019891035.1_ASM1989103v1
Escherichia coli strain VCSW5 	CP082355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/890/835/GCA_019890835.1_ASM1989083v1
Escherichia coli strain VCSW7 	CP082357.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/890/855/GCA_019890855.1_ASM1989085v1
Escherichia coli strain PC-NDM34 	NZ_CP082120.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/843/995/GCA_019843995.1_ASM1984399v1
Escherichia coli strain NDM_11.16372 	NZ_CP082129.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/844/035/GCA_019844035.1_ASM1984403v1
Escherichia coli strain NDM_12_14482 	NZ_CP082127.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/844/015/GCA_019844015.1_ASM1984401v1
Escherichia coli strain NDM_11.16372 	CP082129.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/844/035/GCA_019844035.1_ASM1984403v1
Escherichia coli strain NDM_12_14482 	CP082127.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/844/015/GCA_019844015.1_ASM1984401v1
Escherichia coli strain PC-NDM34 	CP082120.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/843/995/GCA_019843995.1_ASM1984399v1
Escherichia coli strain WW2 	NZ_CP081881.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/685/GCA_019802685.1_ASM1980268v1
Escherichia coli strain WW2 	CP081881.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/685/GCA_019802685.1_ASM1980268v1
Escherichia coli BL21(DE3) 	NZ_CP081489.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/754/155/GCA_019754155.1_ASM1975415v1
Escherichia coli BL21(DE3) 	CP081489.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/754/155/GCA_019754155.1_ASM1975415v1
Escherichia coli strain Ec1079 	NZ_CP081306.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/720/795/GCA_019720795.1_ASM1972079v1
Escherichia coli strain Ec1079 	CP081306.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/720/795/GCA_019720795.1_ASM1972079v1
Escherichia coli strain CFSAN061771 	NZ_CP042896.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/045/GCA_003400045.2_ASM340004v2
Escherichia coli strain XL10-gold-ultracompetent 	NZ_CP081008.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/795/GCA_019645795.1_ASM1964579v1
Escherichia coli strain 25POL 	NZ_CP081010.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/975/GCA_019645975.1_ASM1964597v1
Escherichia coli strain XL1-Blue 	NZ_CP081007.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/995/GCA_019645995.1_ASM1964599v1
Escherichia coli strain Stbl4 	NZ_CP081009.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/646/015/GCA_019646015.1_ASM1964601v1
Escherichia coli strain TOP10 	NZ_CP080620.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/599/065/GCA_019599065.1_ASM1959906v1
Escherichia coli strain ECSC054 	NZ_AP024112.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/383/105/GCA_005383105.2_ASM538310v2
Escherichia coli strain NS-NP030 	NZ_AP024126.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/393/605/GCA_005393605.2_ASM539360v2
Escherichia coli strain JML285 	NZ_AP024114.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/389/605/GCA_005389605.2_ASM538960v2
Escherichia coli strain KS-NP019 	NZ_AP024123.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/391/285/GCA_005391285.2_ASM539128v2
Escherichia coli strain ST866 	NZ_CP077646.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/614/825/GCA_019614825.1_ASM1961482v1
Escherichia coli strain CFSAN061768 	NZ_CP042973.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/399/795/GCA_003399795.2_ASM339979v2
Escherichia coli strain CFSAN061763 	NZ_CP042899.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/399/885/GCA_003399885.2_ASM339988v2
Escherichia coli strain CFSAN061762 	NZ_CP042901.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/399/895/GCA_003399895.2_ASM339989v2
Escherichia coli strain F2_81 	NZ_CP043542.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/196/535/GCA_900196535.2_ASM90019653v2
Escherichia coli O39:NM str. F8704-2 	NZ_CP050998.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/618/905/GCA_000618905.3_ASM61890v3
Escherichia coli strain SI-NP020 	NZ_AP024130.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/396/225/GCA_005396225.2_ASM539622v2
Escherichia coli O157:H16 str. 98-3133 	NZ_CP051001.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/618/005/GCA_000618005.3_ASM61800v3
Escherichia coli strain CFSAN061772 	NZ_CP042893.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/399/945/GCA_003399945.2_ASM339994v2
Escherichia coli strain 2014C-4639 	NZ_CP027361.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/835/GCA_003018835.2_ASM301883v2
